# ----------------------------------------
# Rapporto dashboard
# ----------------------------------------
# Utenti attivi
# Data di inizio: 20210128
# Data di fine: 20210427
Giorno,28 giorni,7 giorni,1 giorno
0000,0,0,0
0001,0,0,0
0002,0,0,0
0003,0,0,0
0004,0,0,0
0005,0,0,0
0006,3,3,3
0007,7,7,7
0008,7,7,2
0009,7,7,3
0010,7,7,0
0011,7,7,0
0012,7,7,2
0013,8,8,3
0014,8,4,3
0015,10,6,4
0016,11,7,4
0017,12,8,4
0018,12,8,0
0019,12,8,2
0020,13,9,3
0021,13,8,1
0022,13,7,4
0023,13,7,1
0024,13,5,1
0025,13,5,1
0026,13,5,2
0027,13,5,1

# Eventi di conversione principali
# Data di inizio: 20210128
# Data di fine: 20210427
Giorno


# Coinvolgimento utente giornaliero
# Data di inizio: 20210128
# Data di fine: 20210427
Percorso pagina e classe schermata,Coinvolgimento utente,Visualizzazioni di schermata
MainActivity,0.5351291597576364,22.57501099868016
MovieDescriptorActivity,0.21306927801937658,14.913138686131386
ResultsActivity,0.10769744183378699,15.506006006006006
CommentsActivity,0.06152947679087278,15.012722646310433
MediaDescriptorActivity,0.041245606899644384,21.97222222222222
FriendsActivity,0.019324427202285978,6.055555555555555
RegisterActivity,0.009782143937260792,16.17241379310345
SettingsActivity,0.009135562994712637,17.52
SplashActivity,0.0016581672558896223,0.19319562575941676
RecoveryPasswordActivity,0.0014078778587742076,10.384615384615385
SignInHubActivity,0.000020857449759617892,0.0076045627376425855

# Entrate totali
# Data di inizio: 20210128
# Data di fine: 20210427
Giorno,Entrate totali


# Utenti che non hanno sperimentato arresti anomali
# Data di inizio: 20210128
# Data di fine: 20210427
Giorno,Utenti totali
0000,0
0001,0
0002,0
0003,0
0004,0
0005,0
0006,0
0007,0
0008,0
0009,0
0010,0
0011,0
0012,0
0013,0
0014,0
0015,0
0016,0
0017,1
0018,0
0019,0
0020,1
0021,1
0022,1
0023,1
0024,1
0025,1
0026,1
0027,1

# Utilizzo di più versioni dell'app
# Data di inizio: 20210427
# Data di fine: 20210428
Ultima versione,Stato,% di utenti attivi,Utenti che non hanno sperimentato arresti anomali
1.0,Versione che funziona correttamente,1,1

# Acquisizione
# Data di inizio: 20201229
# Data di fine: 20210427
Sorgente,Conversioni first_open,LTV
(direct),10,0

# Coorti di conservazione
# Data di inizio: 20210314
# Data di fine: 20210424
Data,Settimana 0,Settimana 1,Settimana 2,Settimana 3,Settimana 4,Settimana 5
14 mar - 20 mar,0,0,0,0,0,0
21 mar - 27 mar,0,0,0,0,0,-1
28 mar - 3 apr,0,0,0,0,-1,-1
4 apr - 10 apr,7,5,2,-1,-1,-1
11 apr - 17 apr,3,3,-1,-1,-1,-1
18 apr - 24 apr,0,-1,-1,-1,-1,-1

# Segmento di pubblico
# Data di inizio: 20210128
# Data di fine: 20210427
ID Paese,Sessioni,% totale
IT,94,1

# Data di inizio: 20210128
# Data di fine: 20210427
Modello dispositivo,Utenti
(not set),7
PRA-LX1,5
Mi 9T Pro,1

# Data di inizio: 20210128
# Data di fine: 20210427
Sistema operativo versione,Utenti
Android 11,6
Android 8.0.0,5
Android 10,1
Android 6.0,1

# Data di inizio: 20210128
# Data di fine: 20210427
Sesso,Utenti


# Data di inizio: 20210128
# Data di fine: 20210427
Categoria


# Segmento di pubblico
# Data di inizio: 20210128
# Data di fine: 20210427
Piattaforma,Utenti
"[""Android""]",13

# Data di inizio: 20210128
# Data di fine: 20210427
Piattaforma,Utenti
Android,1

# Data di inizio: 20210128
# Data di fine: 20210427
Piattaforma,Utenti,% totale,Coinvolgimento utente,Entrate totali
Android,13,1,1892.9803921568628,0
